Bytes           	malloc_time	free_time
1               	 0.000035 	0.000011
2               	 0.000031 	0.000001
4               	 0.000030 	0.000000
8               	 0.000030 	0.000001
16              	 0.000029 	0.000001
32              	 0.000031 	0.000001
64              	 0.000032 	0.000002
128             	 0.000033 	0.000004
256             	 0.000033 	0.000003
512             	 0.000035 	0.000002
1024            	 0.000030 	0.000000
2048            	 0.000031 	0.000003
4096            	 0.000034 	0.000004
8192            	 0.000039 	0.000005
16384           	 0.000050 	0.000000
32768           	 0.000072 	0.000000
65536           	 0.000792 	0.000003
131072          	 0.000834 	0.000003
262144          	 0.000681 	0.000003
524288          	 0.001002 	0.000002
1048576         	 0.000673 	0.000004
2097152         	 0.000694 	0.000003
4194304         	 0.001385 	0.000004
8388608         	 0.000732 	0.000003
16777216        	 0.000772 	0.000006
33554432        	 0.000882 	0.000012
67108864        	 0.001012 	0.000025
134217728       	 0.001349 	0.000142
